ListingID,ListingDate,Neighborhood,YearBuilt,Renovated,Bedrooms,Bathrooms,SqFt_Living,SqFt_Lot,Floors,GarageSpaces,Condition,SchoolRating,DistanceToCenter_km,CrimeIndex,MedianIncome_k,Price_USD
1000030,2024-04-09,Suburb,1969,0,2,2.0,2591,2422,1,0,2,8,3.32,20.2,47.2,579000
1000031,2025-09-02,Rural,1987,0,2,3.5,1437,4050,1,1,5,8,2.19,47.0,63.7,388700
1000032,2024-04-01,Waterfront,1955,0,6,1.0,2529,5064,2,1,5,6,25.31,38.8,69.6,794200
1000033,2024-03-20,Uptown,1947,0,3,2.0,2900,9975,1,0,3,1,16.47,22.4,79.6,713700
1000034,2024-10-20,Uptown,1998,0,1,2.0,1427,6923,1,0,2,9,11.96,52.9,90.3,424900
1000035,2023-07-29,Suburb,2024,0,1,4.5,3506,13080,2,3,3,5,14.1,15.1,72.8,814600
1000036,2024-10-29,Downtown,2012,0,2,3.0,2175,5039,1,2,1,7,0.5,29.5,72.5,677500
1000037,2025-12-13,Downtown,1990,1,6,3.0,4065,9565,2,3,3,10,12.28,36.4,40.1,1169500
1000038,2024-12-08,Suburb,1943,0,4,1.0,824,11638,1,1,1,4,7.22,57.0,89.9,297400
1000039,2023-03-18,Uptown,2024,1,6,1.5,1699,14721,2,1,1,7,22.26,64.4,62.7,511400
1000040,2025-02-03,Suburb,1978,0,2,3.0,3169,4283,2,1,3,1,22.96,61.5,94.4,633100
1000041,2023-02-06,Suburb,1964,1,3,2.0,3812,11217,1,1,3,9,19.19,42.7,107.0,841600
1000042,2023-04-24,Rural,2016,0,1,4.0,1320,2003,1,0,5,1,17.56,10.0,73.9,336200
1000043,2023-11-08,Suburb,2004,0,3,3.5,4127,8517,1,2,3,6,0.52,50.9,55.5,927400
1000044,2023-12-01,Uptown,2004,0,4,2.5,1215,6676,1,3,5,4,19.32,67.1,77.6,478800
1000045,2023-01-04,Rural,1963,0,5,3.5,2040,14412,1,1,5,1,19.66,63.5,85.7,514500
1000046,2023-01-20,Rural,2025,0,3,4.5,1665,11782,3,1,2,5,25.21,51.9,71.1,458100
1000047,2025-05-15,Uptown,1978,0,5,2.5,2070,13967,1,1,5,10,33.06,27.2,65.6,618100
1000048,2024-05-13,Uptown,1985,0,4,3.0,3839,12878,2,0,3,2,0.5,37.1,90.4,967700
1000049,2023-08-08,Suburb,2004,0,2,4.0,3211,6631,1,1,3,3,10.5,74.0,88.9,696800
1000050,2024-04-15,Downtown,1996,0,6,2.0,3447,11214,3,1,1,2,7.32,23.7,70.4,953600
1000051,2025-01-29,Downtown,1954,0,3,4.0,1440,1232,1,1,2,2,15.55,27.8,41.6,441100
1000052,2025-03-15,Downtown,1966,0,1,1.0,4004,8722,1,1,3,3,14.12,59.1,88.0,968900
1000053,2023-11-12,Rural,1971,0,6,3.0,2111,1471,2,2,2,6,11.89,38.5,61.1,448500
1000054,2023-07-03,Suburb,2021,0,6,3.5,2912,11084,1,1,3,8,23.25,27.3,82.7,754600
1000055,2025-11-17,Suburb,2001,0,1,3.0,3082,14528,2,0,1,7,4.09,67.9,81.3,712500
1000056,2024-11-23,Rural,1971,0,6,2.5,2953,10476,1,0,2,8,4.63,51.9,36.4,605400
1000057,2025-12-13,Suburb,2003,1,6,3.0,2727,12727,1,0,4,8,4.78,39.3,79.8,752800
1000058,2023-12-03,Suburb,2003,0,5,1.5,2276,4128,1,2,4,4,10.76,27.8,89.3,635600
1000059,2023-05-02,Downtown,1973,0,2,1.5,2896,14914,2,2,5,10,2.94,75.7,92.0,939700
1000060,2024-02-23,Downtown,1974,1,4,2.0,3850,8621,1,2,5,2,13.56,44.6,80.6,1009300
1000061,2023-12-26,Suburb,2016,1,4,3.0,1942,10377,1,2,5,7,12.51,66.0,34.5,573900
1000062,2025-02-27,Suburb,1988,0,4,2.5,2390,11743,1,1,1,2,6.92,58.4,106.1,539700
1000063,2025-02-23,Suburb,1952,1,4,2.0,1166,9882,1,0,4,8,21.86,37.2,87.0,432500
1000064,2023-03-20,Rural,2001,1,4,4.0,1814,5303,1,1,2,1,13.46,37.3,51.5,369200
1000065,2024-10-06,Suburb,1990,1,4,2.0,3357,9482,2,1,2,3,23.56,66.7,60.7,691000
1000066,2024-01-11,Suburb,1983,0,5,2.5,2870,10087,1,2,2,4,12.24,66.9,83.1,656000
1000067,2024-11-04,Suburb,2002,0,4,2.5,1281,12975,2,1,3,7,13.78,16.8,93.0,461100
1000068,2024-03-04,Uptown,2018,0,1,1.5,2521,7637,1,1,1,1,8.93,53.2,67.3,599800
1000069,2024-08-12,Downtown,1968,0,1,3.0,3505,7926,1,1,3,3,13.94,43.2,96.2,858600
1000070,2025-02-23,Suburb,1976,0,6,2.5,958,7945,1,0,1,4,20.41,29.5,38.6,288700
1000071,2023-11-18,Downtown,1956,0,6,1.0,729,2424,1,3,3,8,10.3,48.9,55.1,367400
1000072,2023-08-07,Suburb,1995,0,4,4.5,1953,2078,1,0,4,10,18.67,24.8,32.6,559200
1000073,2025-02-12,Rural,1974,0,2,3.5,2929,1090,1,0,1,7,6.69,38.0,58.3,558900
1000074,2025-11-04,Uptown,1969,1,5,3.0,1659,10260,1,0,1,6,20.83,33.0,111.2,532900
1000075,2024-05-01,Downtown,1999,0,1,4.0,3538,6748,3,2,5,4,8.78,37.5,123.3,1009600
1000076,2025-12-29,Uptown,1975,0,3,4.0,3634,13093,1,1,4,9,21.67,43.9,83.2,968000
1000077,2023-07-22,Uptown,1979,1,2,2.0,2470,10772,1,2,2,2,14.55,29.8,64.0,650200
1000078,2025-06-16,Suburb,1977,1,1,3.0,1902,2808,1,1,5,2,27.69,68.6,73.1,417900
1000079,2025-12-19,Suburb,1962,1,5,3.0,654,2221,1,0,2,3,3.61,52.4,88.4,322900
1000080,2023-11-25,Rural,1950,1,4,2.0,3540,5999,2,2,5,3,0.71,71.9,43.6,682700
1000081,2023-06-12,Suburb,2011,1,2,2.0,3813,13878,1,0,1,5,8.45,42.6,65.4,806200
1000082,2024-12-28,Suburb,1947,0,4,1.5,2137,1491,2,0,4,10,1.54,36.8,109.6,568300
1000083,2025-08-10,Rural,1967,0,1,3.0,2411,3461,1,2,1,7,1.56,71.4,55.0,456600
1000084,2023-04-02,Downtown,1997,0,3,3.5,3288,1220,1,0,1,4,19.59,36.3,61.5,832800
1000085,2024-12-03,Downtown,1951,0,4,3.5,3073,6674,3,0,3,3,13.96,42.3,78.3,829000
1000086,2025-08-12,Downtown,1996,1,3,2.0,1000,14854,1,2,1,7,9.68,55.8,84.2,468700
1000087,2023-02-05,Suburb,2003,0,5,1.5,2988,10509,2,1,3,3,10.52,26.4,64.2,702400
1000088,2024-07-19,Suburb,1997,0,2,2.5,3922,7807,1,1,2,10,8.62,55.7,79.7,913000
1000089,2023-03-26,Downtown,1966,0,1,2.5,3278,2850,3,1,1,5,28.85,53.8,91.4,761600
1000090,2023-07-13,Suburb,1941,0,4,4.0,2278,5848,1,2,5,6,7.38,64.0,121.2,705700
1000091,2024-06-17,Downtown,2016,0,6,4.0,2436,8249,1,0,5,10,2.1,58.4,75.2,844800
1000092,2023-12-25,Suburb,1968,0,3,4.0,1461,4703,2,0,5,4,21.16,64.5,77.1,413000
1000093,2023-04-04,Suburb,2009,1,1,3.5,2945,10812,1,2,1,5,12.06,43.3,111.6,725800
1000094,2025-05-27,Uptown,1957,0,6,4.5,1393,14717,1,2,2,6,32.35,32.1,65.9,478700
1000095,2023-08-11,Uptown,1953,1,3,2.5,1765,3724,3,3,2,3,9.26,76.6,48.9,488600
1000096,2025-08-11,Suburb,2006,0,2,1.0,1481,4382,2,1,2,1,21.61,22.1,83.5,373500
1000097,2023-07-13,Uptown,2020,0,4,1.0,1741,2592,2,0,3,3,23.74,23.6,101.7,463100
1000098,2024-07-23,Downtown,2014,0,2,2.0,1857,11105,2,1,3,2,9.31,53.5,85.9,583600
1000099,2025-03-07,Downtown,2004,1,6,2.0,807,7356,2,2,3,7,7.31,69.4,75.9,485500
1000100,2024-06-10,Waterfront,1961,0,2,1.5,3155,4829,2,0,2,1,20.67,47.8,46.1,730600
1000101,2024-04-02,Waterfront,2018,1,4,4.5,2132,3912,2,1,5,4,19.17,60.0,76.7,788900
1000102,2025-04-02,Suburb,1997,0,4,1.5,4014,1801,1,0,5,9,1.3,15.1,105.1,943500
1000103,2023-01-13,Uptown,1954,0,2,4.5,1169,7561,1,2,2,6,3.84,37.5,50.8,436700
1000104,2025-06-24,Waterfront,1951,1,3,3.5,2976,10503,2,2,2,7,0.5,16.9,72.6,945400
1000105,2025-01-26,Rural,2014,0,1,3.0,1163,4137,2,1,3,7,19.36,56.7,69.5,280200
1000106,2025-04-18,Suburb,1963,0,4,3.0,2525,823,1,3,2,3,11.64,21.8,62.7,610000
1000107,2024-04-06,Suburb,2005,1,5,2.0,2316,7521,1,3,5,7,12.54,25.8,83.5,719400
1000108,2024-02-26,Uptown,1951,0,6,3.0,2160,10396,1,0,3,3,0.5,52.7,87.8,693200
1000109,2024-09-18,Downtown,1964,0,2,1.5,2923,5699,1,1,1,7,4.12,60.9,87.5,807400
1000110,2024-12-04,Waterfront,1964,0,2,4.0,3565,4355,2,2,1,7,9.7,42.6,56.5,959400
1000111,2025-10-11,Suburb,1964,0,4,2.0,1672,2991,1,0,1,9,7.95,53.6,41.8,417700
1000112,2025-07-28,Downtown,1998,0,5,2.0,3644,11395,2,1,2,10,15.06,53.1,83.8,1031000
1000113,2023-03-01,Uptown,2018,0,6,3.0,1184,13035,2,1,2,1,19.25,41.8,66.9,410800
1000114,2023-06-16,Suburb,2018,0,1,3.0,1584,11731,3,3,5,3,34.43,28.6,118.4,492700
1000115,2025-11-03,Downtown,2003,1,2,2.5,1649,8158,1,1,5,6,13.82,53.5,119.5,652100
1000116,2024-03-01,Rural,1957,0,2,3.0,4028,11083,2,2,1,4,24.04,54.2,121.8,740900
1000117,2024-09-27,Rural,2022,0,2,1.5,938,6436,2,1,5,7,6.53,58.4,57.3,283500
1000118,2023-03-04,Suburb,1986,0,3,3.0,1962,1147,2,0,3,9,0.5,49.7,90.5,531700
1000119,2023-04-25,Suburb,1986,1,6,2.0,2070,6019,1,2,2,3,10.83,27.5,97.2,638500
1000120,2024-03-24,Suburb,2000,0,1,2.0,3461,10793,1,0,3,9,0.5,55.4,94.7,818000
1000121,2025-02-25,Suburb,2006,0,5,1.5,2298,9992,2,0,3,9,14.13,45.0,70.2,602000
1000122,2025-04-26,Suburb,2021,0,4,2.0,4078,14861,1,1,1,10,6.98,37.8,106.1,944300
1000123,2025-09-07,Downtown,1990,1,4,2.0,3239,14965,1,2,5,1,0.5,40.6,78.0,975800
1000124,2023-08-04,Suburb,1992,0,5,2.5,3104,4245,2,1,1,3,29.62,34.6,80.8,657300
1000125,2023-08-10,Downtown,2004,0,1,1.5,3286,935,2,0,1,2,9.16,58.3,44.2,730500
1000126,2024-08-16,Suburb,1961,0,5,1.5,1097,4694,1,1,2,2,0.5,23.7,92.2,414600
1000127,2024-08-22,Uptown,1966,0,2,2.5,2161,13242,1,1,1,1,22.08,30.1,72.3,512700
1000128,2023-02-10,Downtown,1993,0,4,1.5,2669,12352,1,0,1,5,7.44,40.1,88.2,728200
1000129,2024-05-05,Downtown,1945,0,5,3.0,1271,2202,2,1,2,1,23.81,69.2,83.2,415400
1000130,2025-09-10,Suburb,1967,0,4,4.0,939,3077,3,0,2,3,7.4,60.8,82.0,301200
1000131,2023-06-29,Downtown,2001,0,2,2.5,1002,8802,1,1,1,10,9.13,20.4,77.0,434100
1000132,2025-06-17,Waterfront,2023,1,3,4.0,3420,10180,1,2,5,9,17.1,65.3,95.3,1098600
1000133,2024-05-05,Suburb,1984,0,3,1.0,2931,14750,1,2,5,10,19.34,65.2,73.6,713500
1000134,2024-07-28,Uptown,1974,0,1,1.0,1541,11522,1,1,4,1,20.92,27.4,46.0,434000
1000135,2024-12-04,Suburb,1977,1,5,3.0,3228,3808,2,1,3,7,13.19,10.0,90.5,752900
1000136,2025-02-12,Downtown,1998,0,1,3.5,3072,1327,1,1,5,7,18.76,43.9,60.2,858500
1000137,2024-11-29,Waterfront,1986,0,3,3.5,3521,9797,1,3,2,2,20.71,61.8,48.9,937800
1000138,2023-04-24,Suburb,1941,1,4,1.0,3868,8663,1,0,3,10,15.81,68.9,55.5,831600
1000139,2023-11-20,Rural,1986,0,1,3.5,3765,13889,1,0,1,5,12.72,31.9,84.2,658500
1000140,2025-07-15,Downtown,1974,0,6,2.0,1169,8978,2,1,4,10,0.99,71.3,75.9,582800
1000141,2023-02-14,Suburb,2000,0,3,2.0,3347,7918,2,0,1,2,19.39,11.6,31.1,651100
1000142,2025-02-22,Suburb,2015,0,1,1.5,1953,5109,2,0,4,7,14.38,39.5,69.6,471200
1000143,2024-07-24,Waterfront,2022,0,4,4.5,1991,2025,1,0,4,2,10.28,38.7,103.7,688200
1000144,2023-05-12,Suburb,1992,0,4,1.0,2894,13244,2,2,2,10,25.5,62.3,68.1,654700
1000145,2023-05-15,Suburb,1971,0,4,3.5,2728,12530,1,2,4,7,1.15,64.5,74.4,754900
1000146,2025-12-10,Uptown,1978,0,5,3.0,2053,3111,2,2,2,1,28.8,59.3,100.9,539100
1000147,2023-02-04,Uptown,1955,0,3,3.0,4199,10795,2,2,2,3,13.8,24.7,95.5,1033100
1000148,2023-01-25,Suburb,2020,1,5,3.0,1147,5971,1,1,3,4,16.86,57.9,100.5,459400
1000149,2023-01-19,Suburb,2012,1,3,3.5,858,7006,2,3,2,1,10.44,52.6,30.0,293800
1000150,2024-11-19,Downtown,2013,1,4,1.5,607,12851,1,2,4,1,0.5,19.9,116.1,517400
1000151,2025-10-12,Rural,1968,0,1,1.0,3513,12757,2,2,2,10,12.74,14.0,92.0,679500
1000152,2023-07-08,Rural,1967,0,4,3.0,2004,3507,1,2,3,10,17.01,60.6,132.2,511900
1000153,2025-05-22,Downtown,2013,0,2,2.0,2118,5168,1,1,5,6,20.09,42.3,60.8,609400
1000154,2025-02-27,Suburb,1986,0,5,1.5,2902,12464,1,1,2,10,12.22,25.7,39.2,687200
1000155,2023-09-09,Downtown,2000,1,5,1.5,2111,13822,1,1,3,7,0.5,41.9,78.2,689400
1000156,2023-03-19,Suburb,1982,0,6,2.0,2624,1922,1,0,5,1,0.5,50.5,71.9,647700
1000157,2024-06-18,Uptown,1978,0,6,1.0,716,12637,1,1,2,8,32.47,43.8,92.4,295900
1000158,2023-03-30,Suburb,1994,1,1,1.0,1078,7747,2,0,1,1,4.17,21.7,101.6,382800
1000159,2023-05-05,Suburb,2009,0,1,4.0,3949,9183,1,0,2,9,26.84,73.3,76.1,847400
1000160,2024-05-26,Rural,1968,0,6,2.0,2168,1869,1,3,5,4,5.59,60.1,72.7,535100
1000161,2025-06-12,Downtown,2009,0,3,4.5,1119,10461,3,2,4,2,12.36,40.0,89.5,512000
1000162,2025-12-25,Waterfront,1961,0,1,4.5,1867,10426,3,2,5,3,19.63,40.6,72.4,630000
1000163,2024-11-19,Uptown,1974,1,2,1.5,1739,10211,1,1,2,7,6.62,50.4,70.5,510400
1000164,2023-10-31,Downtown,2018,0,6,3.0,1514,12027,1,2,5,9,28.33,28.1,100.8,695500
1000165,2023-12-26,Suburb,2022,1,3,3.0,1586,14234,2,2,2,6,14.68,49.8,105.7,511200
1000166,2024-11-02,Uptown,2019,1,1,3.0,3199,12868,2,2,4,2,18.15,25.0,101.8,781200
1000167,2023-07-09,Rural,1967,1,5,1.0,895,11376,1,2,5,10,11.59,43.9,74.3,387200
1000168,2024-07-22,Rural,2012,0,2,1.5,1646,14734,2,1,2,8,19.93,27.5,30.9,388900
1000169,2025-04-22,Uptown,2020,0,3,1.0,2231,10379,1,1,5,5,28.21,28.2,74.7,628600
1000170,2025-07-11,Waterfront,2024,1,1,3.0,2499,10343,1,2,4,6,12.82,69.7,61.3,823700
1000171,2023-03-06,Uptown,1941,0,4,4.5,3758,8497,2,3,4,10,29.57,45.9,75.1,980600
1000172,2023-11-13,Suburb,2004,0,3,3.0,3916,11721,2,1,4,4,8.5,48.1,63.2,869600
1000173,2023-10-07,Uptown,2025,0,6,3.0,1600,1813,2,1,1,1,20.88,14.8,77.5,427700
1000174,2024-08-31,Waterfront,2005,0,3,4.5,2495,7982,1,1,4,2,18.4,36.0,55.1,775400
1000175,2023-07-23,Downtown,1960,1,2,3.0,582,6839,1,1,2,7,4.38,51.9,49.8,355200
1000176,2025-11-07,Downtown,2005,1,1,1.0,2783,13761,1,3,2,10,15.92,47.9,104.9,822900
1000177,2025-10-02,Suburb,1949,0,2,4.0,1065,1830,1,2,1,8,14.07,12.7,56.7,343700
1000178,2023-12-31,Waterfront,1981,0,3,2.0,771,9942,1,1,1,7,6.32,48.1,78.0,384300
1000179,2024-03-22,Rural,1993,1,1,1.0,2986,3417,1,1,5,4,17.22,50.5,99.0,546000
1000180,2024-04-26,Rural,1979,0,3,2.5,1159,13347,1,1,2,5,15.32,64.3,98.1,380100
1000181,2023-02-16,Rural,2000,0,6,4.0,2266,12897,2,0,2,1,13.35,35.2,95.5,583000
1000182,2025-09-01,Rural,1960,1,5,2.0,873,4143,1,1,3,4,13.38,11.4,84.7,316100
1000183,2025-05-04,Suburb,1992,0,4,2.5,3259,13179,1,2,4,7,13.19,30.0,93.9,820200
1000184,2023-12-31,Uptown,1995,0,6,1.5,3330,7854,2,2,3,10,10.69,28.5,108.2,900200
1000185,2024-08-22,Rural,1994,0,5,1.0,2627,14589,1,0,3,10,15.26,56.1,87.4,587500
1000186,2024-02-22,Suburb,1964,0,4,1.0,3593,11164,2,2,5,9,8.2,10.0,37.6,870000
1000187,2023-09-08,Uptown,1966,0,6,3.0,2116,1289,1,2,3,1,37.91,38.3,66.4,485100
1000188,2023-11-30,Downtown,1962,0,1,4.0,1190,3678,1,1,4,9,1.32,66.4,93.3,531000
1000189,2023-04-28,Rural,1979,0,5,1.5,1060,6531,2,2,5,3,8.74,45.1,64.2,342500
1000190,2025-06-06,Uptown,1990,0,2,2.0,1311,3801,2,2,4,7,9.45,58.4,113.6,494400
1000191,2024-12-18,Waterfront,1971,1,5,1.5,1241,2680,2,2,1,10,32.36,20.4,76.6,524300
1000192,2025-10-16,Uptown,1975,1,6,1.0,1696,14689,2,0,2,9,2.12,21.0,79.9,670300
1000193,2023-01-08,Downtown,1964,0,3,2.5,1293,13141,1,0,4,7,17.83,66.6,102.7,507900
1000194,2024-11-22,Rural,1958,0,1,3.0,2687,6971,2,1,3,3,16.24,46.5,74.0,523700
1000195,2024-09-06,Downtown,1996,0,3,3.0,1049,3853,2,0,2,6,17.0,46.5,81.9,403600
1000196,2024-11-14,Downtown,2010,0,3,2.0,2801,3381,3,1,2,8,25.13,28.2,97.8,743200
1000197,2025-12-20,Suburb,1965,0,6,2.5,1736,13804,1,2,1,6,24.94,46.5,45.6,468500
1000198,2024-03-03,Rural,2014,1,6,1.0,3041,5507,1,0,2,5,9.94,27.8,71.7,631900
1000199,2023-06-04,Downtown,1989,1,4,1.5,2398,978,2,1,4,5,15.75,62.8,96.2,714200
1000200,2023-01-14,Uptown,1954,0,6,4.0,3850,6443,1,3,1,6,0.5,85.9,79.4,969500
1000201,2024-06-23,Rural,1971,1,3,3.5,2127,7252,1,1,5,1,14.89,52.3,110.3,499300
1000202,2023-07-10,Waterfront,1940,1,3,4.0,1591,9648,1,1,2,10,6.85,35.5,43.3,634100
1000203,2023-06-04,Suburb,1943,0,6,4.0,2680,5609,1,1,5,2,12.32,10.0,40.8,653600
1000204,2023-06-11,Downtown,1968,0,5,3.0,2938,13907,1,0,2,10,0.5,19.7,94.9,955400
1000205,2023-10-31,Downtown,1979,0,4,4.0,2125,9938,1,0,5,1,17.64,68.3,97.0,690100
1000206,2023-05-08,Uptown,2008,1,3,2.5,2571,14810,1,2,3,6,0.5,29.6,73.7,803200
1000207,2024-06-16,Downtown,1951,0,5,1.0,2242,6012,1,1,5,5,15.33,39.4,86.8,670800
1000208,2024-12-17,Suburb,2012,0,5,1.0,1631,10054,2,1,1,6,2.96,54.8,94.4,480300
1000209,2023-11-14,Downtown,1960,1,3,1.5,1660,5988,1,0,4,5,6.35,67.2,60.1,578100
1000210,2023-05-30,Suburb,1951,0,1,1.0,3858,10739,1,2,2,9,24.39,42.0,62.4,763300
1000211,2024-09-19,Suburb,2000,1,1,2.0,2999,11389,1,0,2,1,19.29,38.9,82.2,639400
1000212,2023-04-04,Suburb,2006,0,1,3.0,853,5370,1,2,1,10,24.34,46.1,97.9,305000
1000213,2025-03-19,Downtown,1992,1,3,3.5,4060,14115,3,1,5,7,28.04,35.6,52.3,1092800
1000214,2024-02-24,Rural,1949,1,4,3.0,3135,12972,2,2,4,8,7.04,36.4,73.6,728200
1000215,2024-03-25,Suburb,1949,0,5,1.5,685,13502,1,1,5,2,27.49,51.2,72.6,313200
1000216,2023-09-30,Suburb,1973,0,2,3.5,3193,3892,1,0,3,1,0.81,47.8,87.2,721400
1000217,2023-11-06,Downtown,1978,0,5,2.0,2682,10994,1,1,1,4,20.71,77.0,77.8,693900
1000218,2023-06-09,Downtown,2025,0,4,1.0,3887,2310,1,2,2,4,9.56,51.6,66.0,1006500
1000219,2024-09-03,Waterfront,1964,0,1,2.0,2311,2298,1,0,3,8,5.63,62.3,105.5,749900
1000220,2023-06-10,Uptown,1956,1,3,2.0,2419,14621,1,1,1,9,19.53,28.9,66.1,646400
1000221,2025-01-15,Uptown,2021,0,2,2.0,1664,2971,1,1,5,5,22.5,52.9,71.6,498300
1000222,2023-10-08,Suburb,1953,0,6,3.5,1690,13071,2,0,5,8,22.24,34.2,43.0,499600
1000223,2024-09-11,Suburb,1942,0,6,3.5,2786,6917,1,2,3,1,15.93,50.9,62.3,699800
1000224,2024-08-11,Waterfront,1976,0,5,3.0,3563,5112,1,0,3,8,15.19,55.3,89.4,1084300
1000225,2024-11-25,Uptown,1974,0,4,1.5,3796,1843,1,1,4,1,18.74,45.7,85.1,831200
1000226,2025-04-10,Waterfront,1993,0,3,3.5,3352,10388,1,0,4,7,16.73,81.1,91.2,1008700
1000227,2024-09-06,Downtown,2015,0,2,3.0,2756,11043,1,1,1,4,18.87,66.4,90.1,757600
1000228,2025-07-23,Suburb,2020,1,5,1.5,2351,7432,1,1,3,5,15.84,62.7,123.9,707800
1000229,2023-10-11,Suburb,1964,0,1,3.0,1756,12302,1,1,4,3,21.59,56.5,61.5,413700
1000230,2025-04-03,Downtown,2024,0,2,2.5,3341,5388,1,1,5,5,0.5,71.5,42.4,920000
1000231,2024-01-11,Downtown,1994,1,1,2.5,1677,8634,2,3,3,9,12.82,23.4,54.9,583600
1000232,2024-11-19,Suburb,1945,0,3,1.5,1491,4872,2,1,5,9,1.55,65.6,62.5,426600
1000233,2024-06-23,Waterfront,2020,0,2,2.5,3711,9068,1,2,3,4,16.49,30.1,56.6,1008300
1000234,2025-09-21,Suburb,1951,0,2,1.0,2681,2731,1,1,2,3,28.78,36.5,80.1,524700
1000235,2023-10-25,Waterfront,1990,1,3,1.5,1810,7562,2,1,3,6,9.73,53.4,105.6,652800
1000236,2024-07-23,Rural,2008,0,6,1.5,3702,8600,2,0,4,7,15.15,63.5,111.9,750900
1000237,2023-06-30,Suburb,1961,1,4,4.5,4062,8703,1,1,5,2,20.81,27.7,89.1,958000
1000238,2024-11-25,Rural,1963,0,5,2.0,1676,7142,1,2,2,8,0.5,37.3,125.1,498300
1000239,2023-02-10,Downtown,1980,0,6,2.0,2429,9939,1,2,2,10,9.3,46.5,70.2,764900
1000240,2024-03-27,Downtown,2016,0,6,2.0,2289,8073,2,2,4,9,17.28,42.2,42.1,713100
1000241,2023-01-11,Rural,1959,0,3,4.0,3096,4822,1,2,4,6,0.5,57.8,101.2,678100
1000242,2023-12-25,Rural,1997,0,6,2.5,4019,3858,1,0,2,4,5.21,90.0,37.6,714000
1000243,2024-06-14,Uptown,1978,0,6,4.0,2530,9998,1,0,4,4,23.91,51.3,61.4,714000
1000244,2023-12-30,Suburb,1949,1,6,2.0,3454,14129,1,2,1,8,23.03,34.0,89.4,831400
1000245,2024-02-27,Suburb,2001,0,3,1.5,2704,11496,1,0,2,5,17.37,25.6,75.7,578400
1000246,2023-06-12,Rural,2011,0,2,2.5,3782,9868,2,0,5,2,21.94,40.1,73.8,663600
